"Playlist Title","Pachanga! #3 (Holiday)"
"DJ Name",PJ
"Playlist Start Date","Dec 22, 2022"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Dec 22, 2022","Boney M.","Feliz Navidad","Christmas With Boney M.",MCI
"Dec 22, 2022",Eels,"Everything's Gonna Be Cool This Christmas","Useless Trinkets-B Sides, Soundtracks, Rarities and Unreleased 1996-2006 (Audio Version)",Geffen
"Dec 22, 2022","Sidney Gish","Santa Baby","Santa Baby - Single","Sidney Gish"
"Dec 22, 2022",Khruangbin,"Christmas Time Is Here","Christmas Time Is Here - Single","Dead Oceans/ Night Time Stories"
"Dec 22, 2022","Julian Casablancas","Christmas Treat","Christmas Treat - Single","RCA Records Label"
"Dec 22, 2022","Remi Wolf","Last Christmas","Last Christmas / Winter Wonderland - Single",
"Dec 22, 2022",Feet,"Vegetarian Christmas","Vegetarian Christmas - Single","Clapped Records"
"Dec 22, 2022","The Shins","Wonderful Christmastime","Christmas Rules",
"Dec 22, 2022","The Monkees","Unwrap You at Christmas","Christmas Party",Rhino
"Dec 22, 2022","Sufjan Stevens","Let It Snow! Let It Snow! Let It Snow!","Silver & Gold","Asthmatic Kitty"
"Dec 22, 2022","Bread & Butter","All I Want for Christmas Is You to Stop Being a Psycho (Live)","All I Want for Christmas Is You to Stop Being a Psycho (Live) - Single","Victory Studios Music"
"Dec 22, 2022","Vaudeville Etiquette","Let's Spike the Eggnog","Let's Spike the Eggnog - Single","Vaudeville Etiquette"
"Dec 22, 2022","The Pysht River Troubadours","Let's Have a Seattle Christmas","Let's Have a Seattle Christmas","Pysht River Records"
"Dec 22, 2022","Jack Johnson","Someday At Christmas","This Warm December: Brushfire Holiday's, Vol. 1","Brushfire Records/Universal"
"Dec 22, 2022","Billy Joel","She's Right On Time (Live at Madison Square Garden, New York, NY - 2006)","12 Gardens Live",Columbia
"Dec 22, 2022","The Kinks","Father Christmas","Come Dancing with the Kinks (The Best of the Kinks 1977-1986)",
"Dec 22, 2022","Bruce Springsteen & The E Street Band","Merry Christmas Baby","A Very Special Christmas",A&M
