"Playlist Title","Pachanga! #47"
"DJ Name",PJ
"Playlist Start Date","May 16, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"May 16, 2024",Khruangbin,"May Ninth","A LA SALA","Dead Oceans"
"May 16, 2024","Dan Auerbach","Malibu Man","Waiting on a Song",Nonesuch
"May 16, 2024","The Box Tops","The Letter","Best of the Box Top - Soul Deep (Remastered)",Arista
"May 16, 2024","Don't Stop or We'll Die","Once In Awhile","One of the Gang - EP","Don't Stop or We'll Die"
"May 16, 2024","David Byrne","David Byrne Does Hard Times","David Byrne Does Hard Times - Single","Atlantic Records"
"May 16, 2024","The Black Keys","On the Game","Ohio Players",Nonesuch
"May 16, 2024","The California Honeydrops","Tulsa Time","Covers from the Cave","Tubtone Records"
"May 16, 2024",Phish,Evolve,"Evolve - Single","ATO Records / Fontana North"
"May 16, 2024",Cuco,"Coastin' (with Alemán)","Coastin' (with Alemán)",
"May 16, 2024","Dr. Dog","The Breeze",Fate,"We Buy Gold Records"
"May 16, 2024","Electric Light Orchestra",Alright,Zoom,Columbia/Legacy
"May 16, 2024","Stevie Nicks","For What It's Worth","For What It's Worth - Single","Rhino Atlantic"
"May 16, 2024","Sammy Rae & The Friends","Jackie Onassis","Jackie Onassis - Single","Nettwerk Music Group"
"May 16, 2024","The Cure","A Letter to Elise (Live in Paris) [2024 Remaster]","Paris (Live)",Rhino/Elektra
"May 16, 2024","Jens Lekman","How We Met, The Long Version","Life Will See You Now","Secretly Canadian"
"May 16, 2024","Kate Fagan","I Don't Wanna Be Too Cool","I Don't Wanna Be Too Cool (Expanded Edition)","Captured Tracks"
