"Playlist Title","Pachanga! #75 (Covers!)"
"DJ Name",PJ
"Playlist Start Date","Jun 26, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"
"Episode Description","<p>Playlist of some great covers to celebrate 75 shows at SPACE 101.1FM</p>"

Date,Artist,Song,Release,Label
"Jun 26, 2025","Elton John","Young Dumb & Broke (feat. Khalid)","Spotify Singles","Mercury Records"
"Jun 26, 2025","The Flaming Lips","Can't Get You Out of My Head (KEXP Version)","Yoshimi Wins! (Live Radio Sessions)","Rhino/Warner Records"
"Jun 26, 2025","The Flaming Lips","Space Oddity","Space Oddity - Single","Warner Records"
"Jun 26, 2025","Kevin Abstract","Once in a Lifetime","Everyone's Getting Involved: A Tribute to Talking Heads' Stop Making Sense","A24 Music"
"Jun 26, 2025","Shovels & Rope","In My Room (feat. Sharon Van Etten)","Discovered & Covered","Dualtone Music Group"
"Jun 26, 2025","Patti Smith","Smells Like Teen Spirit (Radio Edit)","Outside Society (Remastered)",Arista/Legacy
"Jun 26, 2025","Grace Bowers & The Hodge Podge","Going To California (feat. SistaStrings & Sierra Hull)","Going to California (feat. SistaStrings & Sierra Hull) - Single","Grace Bowers Music LLC"
"Jun 26, 2025","Dolly Parton",Help!,"Great Balls of Fire",RLG/Legacy
"Jun 26, 2025","Pickin' On Series","Float On","Pickin' on Modest Mouse","CMH Records"
"Jun 26, 2025","Sammy Rae & The Friends",Believe,"Believe - Single","Nettwerk Music Group"
"Jun 26, 2025","Billie Joe Armstrong","I Think We're Alone Now","No Fun Mondays",Reprise
"Jun 26, 2025","Knuckle Puck","Stick Season","Stick Season - Single","Pure Noise Records"
"Jun 26, 2025",Goose,"The Killing Moon","Live at The Fox Theatre","No Coincidence Records"
"Jun 26, 2025","Gus Dapperton","What You Won't Do for Love","What You Won't Do for Love - Single","Warner Records"
"Jun 26, 2025",Khruangbin,"Summer Madness","Late Night Tales: Khruangbin","Night Time Stories (Catalogue)"
